"SEM_NOT","frequencia"
201931,810
201932,611
201933,606
201934,605
201935,626
201936,533
201937,683
201938,663
201939,602
201940,749
201941,694
201942,859
201943,893
201944,961
201945,1116
201946,1199
201947,1563
201948,1809
201949,2108
201950,2637
201951,2930
201952,2762
202001,2840
202002,5791
202003,7821
202004,10554
202005,13447
202006,18486
202007,24629
202008,25338
202009,20719
202010,27808
202011,27601
202012,21970
202013,17651
202014,19137
202015,16007
202016,15439
202017,12330
202018,9624
202019,8040
202020,7841
202021,6239
202022,4020
202023,3592
202024,3452
202025,2131
202026,2568
202027,1534
202028,1244
202029,447
