"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"media";"sd";"ls"
"1";141,4;107,2;222,2;143,4;76;215,8;180;133,2;190,2;393;610,8;313,8;227,25;143,286266497061;508,091082334239
"2";141,4;107,2;222,2;143,4;76;215,8;180;133,2;190,2;393;610,8;313,8;227,25;143,286266497061;508,091082334239
"3";141,4;107,2;222,2;143,4;76;215,8;180;133,2;190,2;393;610,8;313,8;227,25;143,286266497061;508,091082334239
"4";144,2;106,8;248,6;143,2;70,8;245,4;192;127,2;196,2;380,6;576,4;306,2;228,133333333333;134,658242310756;492,063488262415
"5";144,2;110,2;275,6;141,2;62,2;274,6;210,8;126,2;192;367,8;529;302,8;228,05;125,18506633514;473,412730016874
"6";145;117,6;330;153,8;64,2;304,6;218,6;137,8;201,6;370,2;503,4;332;239,9;123,081558326177;481,139854319306
"7";148,4;112,6;394;171;66,2;328,2;228,8;140,8;205,8;366,8;493,4;346,6;250,216666666667;126,695342148882;498,539537278475
"8";152,2;98;436,6;188,2;64,2;312,8;276,6;131,6;197;332,2;490,8;373,4;254,466666666667;131,351267810994;511,915151576216
"9";161,4;93,6;459,6;208,6;66,8;297,2;312;155,4;208,6;323,4;491,8;407;265,45;133,508304985121;527,126277770837
"10";173;92,4;495,2;225,4;69,4;293;345,8;164,2;215,2;320,8;527,4;468,2;282,5;147,368664692781;571,342582797851
"11";205;101,4;509,6;248,8;70,8;284,4;413;168,2;234,4;309,4;528,8;513,6;298,95;152,831522163023;598,499783439526
"12";231,2;109,6;497,2;262,2;76,8;281;479;176;275,2;315,2;526,8;546,4;314,716666666667;155,267735612465;619,041428467097
"13";257,4;118,6;484;277,8;91,2;298,2;498,6;191,8;332,6;347,2;557,2;584,4;336,583333333333;157,60846970332;645,49593395184
"14";298;123;504,2;290;109,6;311,8;537;198;387;350,8;603,6;614,8;360,65;166,677235498233;687,337381576536
"15";321,4;138,2;528,2;310,6;131,8;330;594,4;205,2;432,2;353,4;651;623,8;385,016666666667;174,479291193985;726,996077406878
"16";356,2;145,4;539;326,4;157,4;354,2;665,2;219;471,4;360,6;746,2;667,2;417,35;193,608352522991;796,822370945062
"17";404,6;170,4;575,2;357,6;185,8;382,6;743,2;246;507,6;368,6;912,2;704,8;463,216666666667;222,256645319974;898,839691493816
"18";447;206;614,8;388,8;208,6;447;825,8;284,4;543,4;370,6;1134,2;717;515,633333333333;261,427999435579;1028,03221222707
"19";466,4;243,2;633;409,2;221;532,2;889,4;340,2;574,8;374,2;1344;737,8;563,783333333333;301,460450234447;1154,64581579285
"20";468,4;264,4;591,6;409,8;219,8;604;880,8;407,2;607,8;363,6;1499,2;738,2;587,9;330,230954535357;1235,1526708893
"21";417,6;268,4;549,2;390,4;218,6;701,8;797,4;468;614,2;337;1701,8;703,8;597,35;375,941610049575;1334,19555569717
"22";377,2;279,8;531,4;355;244,2;817;715,2;606;633,2;384,8;2104;747;649,566666666667;474,819662842876;1580,2132058387
"23";371,8;275,6;525,2;328,6;271,4;929,6;628;848,8;686,6;445,6;2621,2;815,2;728,966666666667;610,953745294101;1926,4360074431
"24";365,8;271,8;539;312,4;333,4;1071,8;534,6;1155;742,8;569,6;3315;884,8;841,333333333333;797,377122543377;2404,19249351835
"25";368,2;270,2;592;339,8;440,4;1291,8;488;1566,2;831,4;733,6;4020;948,6;990,85;988,962645485999;2929,21678515256
"26";379;294;647,8;401;589,6;1576,4;482,2;2122;982,2;976,6;4815;978;1186,98333333333;1208,67037816584;3555,97727453838
"27";371,4;314;646;481,6;799,6;1960,2;458;2629,2;1120,8;1141;5628,6;957,2;1375,63333333333;1441,55668135372;4201,08442878663
"28";347,4;331,6;624,4;573,2;1106;2490;442,2;3129,8;1254,4;1345,6;6352,2;926,2;1576,91666666667;1661,22594581699;4832,91952046797
"29";326,4;355,6;575,2;664;1537;3046,2;445,2;3828,8;1387,4;1649,2;7005,8;883;1808,65;1887,57868379043;5508,30422022924
"30";344;404;529,6;749,4;2065;3486;486,6;4661,2;1500,8;2081;7821,2;850;2081,56666666667;2159,96157656154;6315,09135672729
"31";373,8;457,2;503,6;844,2;2654,6;3779,6;531,8;5445,8;1566,2;2682,2;8299,2;853;2332,6;2354,89042349462;6948,18523004945
"32";411;510;481,6;982,6;3229,4;4066,8;580,8;6339,8;1728;3489,6;8377,2;844,8;2586,8;2498,01237253408;7482,90425016679
"33";493,4;555,8;470,6;1186,4;3815,8;4237,2;622,4;7101,2;1933;4381,2;8393,2;824,6;2834,56666666667;2632,3300639463;7993,93359200142
"34";722,4;572,2;454;1447,2;4233;4208,8;648,2;7353,2;2192,4;5093,2;8451;785,2;3013,4;2693,94487199225;8293,53194910481
