"";"Semana";"freq";"semana";"ano";"anoepi"
"1";"CanaEndemico1";508,091082334239;"01";"CanalEndemico";"CanalEndemico"
"2";"CanaEndemico2";508,091082334239;"02";"CanalEndemico";"CanalEndemico"
"3";"CanaEndemico3";508,091082334239;"03";"CanalEndemico";"CanalEndemico"
"4";"CanaEndemico4";492,063488262415;"04";"CanalEndemico";"CanalEndemico"
"5";"CanaEndemico5";473,412730016874;"05";"CanalEndemico";"CanalEndemico"
"6";"CanaEndemico6";481,139854319306;"06";"CanalEndemico";"CanalEndemico"
"7";"CanaEndemico7";498,539537278475;"07";"CanalEndemico";"CanalEndemico"
"8";"CanaEndemico8";511,915151576216;"08";"CanalEndemico";"CanalEndemico"
"9";"CanaEndemico9";527,126277770837;"09";"CanalEndemico";"CanalEndemico"
"10";"CanaEndemico10";571,342582797851;"10";"CanalEndemico";"CanalEndemico"
"11";"CanaEndemico11";598,499783439526;"11";"CanalEndemico";"CanalEndemico"
"12";"CanaEndemico12";619,041428467097;"12";"CanalEndemico";"CanalEndemico"
"13";"CanaEndemico13";645,49593395184;"13";"CanalEndemico";"CanalEndemico"
"14";"CanaEndemico14";687,337381576536;"14";"CanalEndemico";"CanalEndemico"
"15";"CanaEndemico15";726,996077406878;"15";"CanalEndemico";"CanalEndemico"
"16";"CanaEndemico16";796,822370945062;"16";"CanalEndemico";"CanalEndemico"
"17";"CanaEndemico17";898,839691493816;"17";"CanalEndemico";"CanalEndemico"
"18";"CanaEndemico18";1028,03221222707;"18";"CanalEndemico";"CanalEndemico"
"19";"CanaEndemico19";1154,64581579285;"19";"CanalEndemico";"CanalEndemico"
"20";"CanaEndemico20";1235,1526708893;"20";"CanalEndemico";"CanalEndemico"
"21";"CanaEndemico21";1334,19555569717;"21";"CanalEndemico";"CanalEndemico"
"22";"CanaEndemico22";1580,2132058387;"22";"CanalEndemico";"CanalEndemico"
"23";"CanaEndemico23";1926,4360074431;"23";"CanalEndemico";"CanalEndemico"
"24";"CanaEndemico24";2404,19249351835;"24";"CanalEndemico";"CanalEndemico"
"25";"CanaEndemico25";2929,21678515256;"25";"CanalEndemico";"CanalEndemico"
"26";"CanaEndemico26";3555,97727453838;"26";"CanalEndemico";"CanalEndemico"
"27";"CanaEndemico27";4201,08442878663;"27";"CanalEndemico";"CanalEndemico"
"28";"CanaEndemico28";4832,91952046797;"28";"CanalEndemico";"CanalEndemico"
"29";"CanaEndemico29";5508,30422022924;"29";"CanalEndemico";"CanalEndemico"
"30";"CanaEndemico30";6315,09135672729;"30";"CanalEndemico";"CanalEndemico"
"31";"CanaEndemico31";6948,18523004945;"31";"CanalEndemico";"CanalEndemico"
"32";"CanaEndemico32";7482,90425016679;"32";"CanalEndemico";"CanalEndemico"
"33";"CanaEndemico33";7993,93359200142;"33";"CanalEndemico";"CanalEndemico"
"34";"CanaEndemico34";8293,53194910481;"34";"CanalEndemico";"CanalEndemico"
"35";"CanaEndemico35";8489,87721707904;"35";"CanalEndemico";"CanalEndemico"
"36";"CanaEndemico36";8519,62149730086;"36";"CanalEndemico";"CanalEndemico"
"37";"CanaEndemico37";8242,93719961998;"37";"CanalEndemico";"CanalEndemico"
"38";"CanaEndemico38";7579,30477036206;"38";"CanalEndemico";"CanalEndemico"
"39";"CanaEndemico39";6746,74516300807;"39";"CanalEndemico";"CanalEndemico"
"40";"CanaEndemico40";5656,92177246144;"40";"CanalEndemico";"CanalEndemico"
"41";"CanaEndemico41";4590,23310670868;"41";"CanalEndemico";"CanalEndemico"
"42";"CanaEndemico42";3647,70509552999;"42";"CanalEndemico";"CanalEndemico"
"43";"CanaEndemico43";2848,25044123855;"43";"CanalEndemico";"CanalEndemico"
"44";"CanaEndemico44";2269,33215992532;"44";"CanalEndemico";"CanalEndemico"
"45";"CanaEndemico45";1845,91092735774;"45";"CanalEndemico";"CanalEndemico"
"46";"CanaEndemico46";1480,09685298771;"46";"CanalEndemico";"CanalEndemico"
"47";"CanaEndemico47";1216,53431605896;"47";"CanalEndemico";"CanalEndemico"
"48";"CanaEndemico48";1017,094436351;"48";"CanalEndemico";"CanalEndemico"
"49";"CanaEndemico49";829,116920262411;"49";"CanalEndemico";"CanalEndemico"
"50";"CanaEndemico50";672,092094545522;"50";"CanalEndemico";"CanalEndemico"
"51";"CanaEndemico51";672,092094545522;"51";"CanalEndemico";"CanalEndemico"
"52";"CanaEndemico52";672,092094545522;"52";"CanalEndemico";"CanalEndemico"
