nome;regional;macroregional;macroid
Antonina;1;Leste;1
Guaraqueçaba;1;Leste;1
Guaratuba;1;Leste;1
Matinhos;1;Leste;1
Morretes;1;Leste;1
Paranaguá;1;Leste;1
Pontal do Paraná;1;Leste;1
Adrianópolis;2;Leste;1
Agudos do Sul;2;Leste;1
Almirante Tamandaré;2;Leste;1
Araucária;2;Leste;1
Balsa Nova;2;Leste;1
Bocaiúva do Sul;2;Leste;1
Campina Grande do Sul;2;Leste;1
Campo do Tenente;2;Leste;1
Campo Largo;2;Leste;1
Campo Magro;2;Leste;1
Cerro Azul;2;Leste;1
Colombo;2;Leste;1
Contenda;2;Leste;1
Curitiba;2;Leste;1
Doutor Ulysses;2;Leste;1
Fazenda Rio Grande;2;Leste;1
Itaperuçu;2;Leste;1
Lapa;2;Leste;1
Mandirituba;2;Leste;1
Piên;2;Leste;1
Pinhais;2;Leste;1
Piraquara;2;Leste;1
Quatro Barras;2;Leste;1
Quitandinha;2;Leste;1
Rio Branco do Sul;2;Leste;1
Rio Negro;2;Leste;1
São José dos Pinhais;2;Leste;1
Tijucas do Sul;2;Leste;1
Tunas do Paraná;2;Leste;1
Arapoti;3;Leste;1
Carambeí;3;Leste;1
Castro;3;Leste;1
Ipiranga;3;Leste;1
Ivaí;3;Leste;1
Jaguariaíva;3;Leste;1
Palmeira;3;Leste;1
Piraí do Sul;3;Leste;1
Ponta Grossa;3;Leste;1
Porto Amazonas;3;Leste;1
São João do Triunfo;3;Leste;1
Sengés;3;Leste;1
Fernandes Pinheiro;4;Leste;1
Guamiranga;4;Leste;1
Imbituva;4;Leste;1
Inácio Martins;4;Leste;1
Irati;4;Leste;1
Mallet;4;Leste;1
Rebouças;4;Leste;1
Rio Azul;4;Leste;1
Teixeira Soares;4;Leste;1
Boa Ventura de São Roque;5;Leste;1
Campina do Simão;5;Leste;1
Candói;5;Leste;1
Cantagalo;5;Leste;1
Foz do Jordão;5;Leste;1
Goioxim;5;Leste;1
Guarapuava;5;Leste;1
Laranjal;5;Leste;1
Laranjeiras do Sul;5;Leste;1
Marquinho;5;Leste;1
Nova Laranjeiras;5;Leste;1
Palmital;5;Leste;1
Pinhão;5;Leste;1
Pitanga;5;Leste;1
Porto Barreiro;5;Leste;1
Prudentópolis;5;Leste;1
Reserva do Iguaçu;5;Leste;1
Rio Bonito do Iguaçu;5;Leste;1
Turvo;5;Leste;1
Virmond;5;Leste;1
Antônio Olinto;6;Leste;1
Bituruna;6;Leste;1
Cruz Machado;6;Leste;1
General Carneiro;6;Leste;1
Paula Freitas;6;Leste;1
Paulo Frontin;6;Leste;1
Porto Vitória;6;Leste;1
São Mateus do Sul;6;Leste;1
União da Vitória;6;Leste;1
Bom Sucesso do Sul;7;Leste;1
Chopinzinho;7;Leste;1
Clevelândia;7;Leste;1
Coronel Domingos Soares;7;Leste;1
Coronel Vivida;7;Leste;1
Honório Serpa;7;Leste;1
Itapejara d'Oeste;7;Leste;1
Mangueirinha;7;Leste;1
Mariópolis;7;Leste;1
Palmas;7;Leste;1
Pato Branco;7;Leste;1
São João;7;Leste;1
Saudade do Iguaçu;7;Leste;1
Sulina;7;Leste;1
Vitorino;7;Leste;1
Ampére;8;Oeste;2
Barracão;8;Oeste;2
Bela Vista do Carobá;8;Oeste;2
Boa Esperança do Iguaçu;8;Oeste;2
Bom Jesus do Sul;8;Oeste;2
Capanema;8;Oeste;2
Cruzeiro do Iguaçu;8;Oeste;2
Dois Vizinhos;8;Oeste;2
Enéas Marques;8;Oeste;2
Flor da Serra do Sul;8;Oeste;2
Francisco Beltrão;8;Oeste;2
Manfrinópolis;8;Oeste;2
Marmeleiro;8;Oeste;2
Nova Esperança do Sudoeste;8;Oeste;2
Nova Prata do Iguaçu;8;Oeste;2
Pérola d'Oeste;8;Oeste;2
Pinhal de São Bento;8;Oeste;2
Planalto;8;Oeste;2
Pranchita;8;Oeste;2
Realeza;8;Oeste;2
Renascença;8;Oeste;2
Salgado Filho;8;Oeste;2
Salto do Lontra;8;Oeste;2
Santa Izabel do Oeste;8;Oeste;2
Santo Antônio do Sudoeste;8;Oeste;2
Sao Jorge d'Oeste;8;Oeste;2
Verê;8;Oeste;2
Foz do Iguaçu;9;Oeste;2
Itaipulândia;9;Oeste;2
